VariableSide,Hypotenuse
0,5
0.1,5.00099990001999
0.2,5.00399840127872
0.3,5.00899191454728
0.4,5.01597448159378
0.5,5.02493781056044
0.6,5.03587132480567
0.7,5.04876222454573
0.8,5.06359556046887
0.9,5.08035431835221
1,5.09901951359278
1.1,5.11957029446808
1.2,5.14198405287298
1.3,5.1662365412358
1.4,5.19230199429887
1.5,5.22015325445528
1.6,5.24976189936268
1.7,5.28109837060436
1.8,5.31413210223457
1.9,5.34883164812653
2,5.3851648071345
2.1,5.4230987451825
2.2,5.46260011349907
2.3,5.50363516232681
2.4,5.54616984954482
2.5,5.59016994374947
2.6,5.63560112144215
2.7,5.68242905807015
2.8,5.73061951275776
2.9,5.78013840664737
3,5.8309518948453
3.1,5.88302643203309
3.2,5.93632883186233
3.3,5.99082632030006
3.4,6.04648658313239
3.5,6.10327780786685
3.6,6.16116872029975
3.7,6.22012861603359
3.8,6.28012738724303
3.9,6.34113554499508
4,6.40312423743285
4.1,6.46606526413088
4.2,6.5299310869258
4.3,6.59469483751902
4.4,6.66033032213868
4.5,6.72681202353685
4.6,6.79411510058521
4.7,6.8622153857191
4.8,6.93108938046538
4.9,7.00071424927486
5,7.07106781186548
5.1,7.14212853426764
5.2,7.21387551874857
5.3,7.28628849277875
5.4,7.35934779718964
5.5,7.43303437365925
5.6,7.50732975164938
5.7,7.58221603490695
5.8,7.65767588763066
5.9,7.73369252039412
6,7.81024967590665
6.1,7.8873316146844
6.2,7.96492310069595
6.3,8.04300938703916
6.4,8.12157620169878
6.5,8.20060973342836
6.6,8.28009661779378
6.7,8.36002392341075
6.8,8.44037913840368
6.9,8.52115015710907
7,8.60232526704263
7.1,8.68389313614579
7.2,8.76584280032445
7.3,8.84816365128946
7.4,8.93084542470644
7.5,9.01387818865997
7.6,9.09725233243533
7.7,9.18095855561934
7.8,9.26498785752038
7.9,9.34933152690608
8,9.4339811320566
8.1,9.51892851112981
8.2,9.60416576283438
8.3,9.68968523740581
8.4,9.77547952787995
8.5,9.86154146165801
8.6,9.94786409235671
8.7,10.0344406919369
8.8,10.121264743104
8.9,10.2083299319722
9,10.295630140987
9.1,10.3831594420966
9.2,10.4709120901667
9.3,10.5588825166303
9.4,10.6470653233649
9.5,10.7354552767919
9.6,10.8240473021878
9.7,10.9128364782031
9.8,11.0018180315801
9.9,11.0909873320638
10,11.1803398874989
