variableSide,hypotenuse,,startValue,endValue,interval,fixedSide
1,25.02,,1,200,1,25
2,25.08,,,,,
3,25.18,,,,,
4,25.32,,,,,
5,25.5,,,,,
6,25.71,,,,,
7,25.96,,,,,
8,26.25,,,,,
9,26.57,,,,,
10,26.93,,,,,
11,27.31,,,,,
12,27.73,,,,,
13,28.18,,,,,
14,28.65,,,,,
15,29.15,,,,,
16,29.68,,,,,
17,30.23,,,,,
18,30.81,,,,,
19,31.4,,,,,
20,32.02,,,,,
21,32.65,,,,,
22,33.3,,,,,
23,33.97,,,,,
24,34.66,,,,,
25,35.36,,,,,
26,36.07,,,,,
27,36.8,,,,,
28,37.54,,,,,
29,38.29,,,,,
30,39.05,,,,,
31,39.82,,,,,
32,40.61,,,,,
33,41.4,,,,,
34,42.2,,,,,
35,43.01,,,,,
36,43.83,,,,,
37,44.65,,,,,
38,45.49,,,,,
39,46.32,,,,,
40,47.17,,,,,
41,48.02,,,,,
42,48.88,,,,,
43,49.74,,,,,
44,50.61,,,,,
45,51.48,,,,,
46,52.35,,,,,
47,53.24,,,,,
48,54.12,,,,,
49,55.01,,,,,
50,55.9,,,,,
51,56.8,,,,,
52,57.7,,,,,
53,58.6,,,,,
54,59.51,,,,,
55,60.42,,,,,
56,61.33,,,,,
57,62.24,,,,,
58,63.16,,,,,
59,64.08,,,,,
60,65,,,,,
61,65.92,,,,,
62,66.85,,,,,
63,67.78,,,,,
64,68.71,,,,,
65,69.64,,,,,
66,70.58,,,,,
67,71.51,,,,,
68,72.45,,,,,
69,73.39,,,,,
70,74.33,,,,,
71,75.27,,,,,
72,76.22,,,,,
73,77.16,,,,,
74,78.11,,,,,
75,79.06,,,,,
76,80.01,,,,,
77,80.96,,,,,
78,81.91,,,,,
79,82.86,,,,,
80,83.82,,,,,
81,84.77,,,,,
82,85.73,,,,,
83,86.68,,,,,
84,87.64,,,,,
85,88.6,,,,,
86,89.56,,,,,
87,90.52,,,,,
88,91.48,,,,,
89,92.44,,,,,
90,93.41,,,,,
91,94.37,,,,,
92,95.34,,,,,
93,96.3,,,,,
94,97.27,,,,,
95,98.23,,,,,
96,99.2,,,,,
97,100.17,,,,,
98,101.14,,,,,
99,102.11,,,,,
100,103.08,,,,,
101,104.05,,,,,
102,105.02,,,,,
103,105.99,,,,,
104,106.96,,,,,
105,107.94,,,,,
106,108.91,,,,,
107,109.88,,,,,
108,110.86,,,,,
109,111.83,,,,,
110,112.81,,,,,
111,113.78,,,,,
112,114.76,,,,,
113,115.73,,,,,
114,116.71,,,,,
115,117.69,,,,,
116,118.66,,,,,
117,119.64,,,,,
118,120.62,,,,,
119,121.6,,,,,
120,122.58,,,,,
121,123.56,,,,,
122,124.54,,,,,
123,125.51,,,,,
124,126.5,,,,,
125,127.48,,,,,
126,128.46,,,,,
127,129.44,,,,,
128,130.42,,,,,
129,131.4,,,,,
130,132.38,,,,,
131,133.36,,,,,
132,134.35,,,,,
133,135.33,,,,,
134,136.31,,,,,
135,137.3,,,,,
136,138.28,,,,,
137,139.26,,,,,
138,140.25,,,,,
139,141.23,,,,,
140,142.21,,,,,
141,143.2,,,,,
142,144.18,,,,,
143,145.17,,,,,
144,146.15,,,,,
145,147.14,,,,,
146,148.12,,,,,
147,149.11,,,,,
148,150.1,,,,,
149,151.08,,,,,
150,152.07,,,,,
151,153.06,,,,,
152,154.04,,,,,
153,155.03,,,,,
154,156.02,,,,,
155,157,,,,,
156,157.99,,,,,
157,158.98,,,,,
158,159.97,,,,,
159,160.95,,,,,
160,161.94,,,,,
161,162.93,,,,,
162,163.92,,,,,
163,164.91,,,,,
164,165.89,,,,,
165,166.88,,,,,
166,167.87,,,,,
167,168.86,,,,,
168,169.85,,,,,
169,170.84,,,,,
170,171.83,,,,,
171,172.82,,,,,
172,173.81,,,,,
173,174.8,,,,,
174,175.79,,,,,
175,176.78,,,,,
176,177.77,,,,,
177,178.76,,,,,
178,179.75,,,,,
179,180.74,,,,,
180,181.73,,,,,
181,182.72,,,,,
182,183.71,,,,,
183,184.7,,,,,
184,185.69,,,,,
185,186.68,,,,,
186,187.67,,,,,
187,188.66,,,,,
188,189.65,,,,,
189,190.65,,,,,
190,191.64,,,,,
191,192.63,,,,,
192,193.62,,,,,
193,194.61,,,,,
194,195.6,,,,,
195,196.6,,,,,
196,197.59,,,,,
197,198.58,,,,,
198,199.57,,,,,
199,200.56,,,,,
200,201.56,,,,,
