variableSide,hypotenuse,Start Value:1.0
1,20.02,End Value:200001.0
51,54.78,Interval:50.0
101,102.96,Fixed Side:20.0
151,152.32,
201,201.99,
251,251.8,
301,301.66,
351,351.57,
401,401.5,
451,451.44,
501,501.4,
551,551.36,
601,601.33,
651,651.31,
701,701.29,
751,751.27,
801,801.25,
851,851.23,
901,901.22,
951,951.21,
1001,1001.2,
1051,1051.19,
1101,1101.18,
1151,1151.17,
1201,1201.17,
1251,1251.16,
1301,1301.15,
1351,1351.15,
1401,1401.14,
1451,1451.14,
1501,1501.13,
1551,1551.13,
1601,1601.12,
1651,1651.12,
1701,1701.12,
1751,1751.11,
1801,1801.11,
1851,1851.11,
1901,1901.11,
1951,1951.1,
2001,2001.1,
2051,2051.1,
2101,2101.1,
2151,2151.09,
2201,2201.09,
2251,2251.09,
2301,2301.09,
2351,2351.09,
2401,2401.08,
2451,2451.08,
2501,2501.08,
2551,2551.08,
2601,2601.08,
2651,2651.08,
2701,2701.07,
2751,2751.07,
2801,2801.07,
2851,2851.07,
2901,2901.07,
2951,2951.07,
3001,3001.07,
3051,3051.07,
3101,3101.06,
3151,3151.06,
3201,3201.06,
3251,3251.06,
3301,3301.06,
3351,3351.06,
3401,3401.06,
3451,3451.06,
3501,3501.06,
3551,3551.06,
3601,3601.06,
3651,3651.05,
3701,3701.05,
3751,3751.05,
3801,3801.05,
3851,3851.05,
3901,3901.05,
3951,3951.05,
4001,4001.05,
4051,4051.05,
4101,4101.05,
4151,4151.05,
4201,4201.05,
4251,4251.05,
4301,4301.05,
4351,4351.05,
4401,4401.05,
4451,4451.04,
4501,4501.04,
4551,4551.04,
4601,4601.04,
4651,4651.04,
4701,4701.04,
4751,4751.04,
4801,4801.04,
4851,4851.04,
4901,4901.04,
4951,4951.04,
5001,5001.04,
5051,5051.04,
5101,5101.04,
5151,5151.04,
5201,5201.04,
5251,5251.04,
5301,5301.04,
5351,5351.04,
5401,5401.04,
5451,5451.04,
5501,5501.04,
5551,5551.04,
5601,5601.04,
5651,5651.04,
5701,5701.04,
5751,5751.03,
5801,5801.03,
5851,5851.03,
5901,5901.03,
5951,5951.03,
6001,6001.03,
6051,6051.03,
6101,6101.03,
6151,6151.03,
6201,6201.03,
6251,6251.03,
6301,6301.03,
6351,6351.03,
6401,6401.03,
6451,6451.03,
6501,6501.03,
6551,6551.03,
6601,6601.03,
6651,6651.03,
6701,6701.03,
6751,6751.03,
6801,6801.03,
6851,6851.03,
6901,6901.03,
6951,6951.03,
