Start Value:1.0
End Value:500001.0
Interval:500.0
Fixed Side:200234.0

variableSide,hypotenuse
1.00,200234.00
501.00,200234.63
1001.00,200236.50
1501.00,200239.63
2001.00,200244.00
2501.00,200249.62
3001.00,200256.49
3501.00,200264.60
4001.00,200273.97
4501.00,200284.58
5001.00,200296.44
5501.00,200309.55
6001.00,200323.90
6501.00,200339.51
7001.00,200356.35
7501.00,200374.45
8001.00,200393.79
8501.00,200414.38
9001.00,200436.21
9501.00,200459.28
10001.00,200483.60
10501.00,200509.17
11001.00,200535.97
11501.00,200564.02
12001.00,200593.32
12501.00,200623.85
13001.00,200655.63
13501.00,200688.64
14001.00,200722.90
14501.00,200758.40
15001.00,200795.13
15501.00,200833.10
16001.00,200872.31
16501.00,200912.76
17001.00,200954.44
17501.00,200997.36
18001.00,201041.52
18501.00,201086.90
19001.00,201133.52
19501.00,201181.37
20001.00,201230.45
20501.00,201280.76
21001.00,201332.30
21501.00,201385.07
22001.00,201439.07
22501.00,201494.29
23001.00,201550.74
23501.00,201608.41
24001.00,201667.31
24501.00,201727.42
25001.00,201788.76
25501.00,201851.32
26001.00,201915.10
26501.00,201980.09
27001.00,202046.30
27501.00,202113.73
28001.00,202182.37
28501.00,202252.22
29001.00,202323.29
29501.00,202395.56
30001.00,202469.05
30501.00,202543.74
31001.00,202619.64
31501.00,202696.74
32001.00,202775.04
32501.00,202854.55
33001.00,202935.26
33501.00,203017.17
34001.00,203100.28
34501.00,203184.58
35001.00,203270.08
35501.00,203356.77
36001.00,203444.65
36501.00,203533.73
37001.00,203623.99
37501.00,203715.44
38001.00,203808.07
38501.00,203901.89
39001.00,203996.89
39501.00,204093.08
40001.00,204190.44
40501.00,204288.98
41001.00,204388.69
41501.00,204489.58
42001.00,204591.64
42501.00,204694.87
43001.00,204799.27
43501.00,204904.84
44001.00,205011.57
44501.00,205119.46
45001.00,205228.52
45501.00,205338.73
46001.00,205450.11
46501.00,205562.64
47001.00,205676.32
47501.00,205791.16
48001.00,205907.14
48501.00,206024.27
49001.00,206142.55
49501.00,206261.98
50001.00,206382.54
50501.00,206504.25
51001.00,206627.10
51501.00,206751.08
52001.00,206876.19
52501.00,207002.44
53001.00,207129.82
53501.00,207258.32
54001.00,207387.95
54501.00,207518.71
55001.00,207650.58
55501.00,207783.58
56001.00,207917.69
56501.00,208052.92
57001.00,208189.26
57501.00,208326.71
58001.00,208465.27
58501.00,208604.94
59001.00,208745.71
59501.00,208887.59
60001.00,209030.56
60501.00,209174.63
61001.00,209319.80
61501.00,209466.05
62001.00,209613.40
62501.00,209761.84
63001.00,209911.36
63501.00,210061.97
64001.00,210213.66
64501.00,210366.43
65001.00,210520.27
65501.00,210675.19
66001.00,210831.18
66501.00,210988.24
67001.00,211146.37
