variableSide,hypotenuse,hypotenuse_salted_small,hypotenuse_salted_medium,hypotenuse_salted_large
1.0,2000.0,2001.3923732250967,2012.2509241270488,2019.5287331368088
6.0,2000.01,2003.5198908207633,1997.5274175664965,2030.0597315957152
11.0,2000.03,1998.2980013086064,2017.2292793739366,2004.5803708882938
16.0,2000.06,2004.611219523334,1999.7909564235563,1982.82780356767
21.0,2000.11,1996.9793542632278,1982.706276094286,1990.6288202824264
26.0,2000.17,2001.3281975422708,2004.859840879196,1989.4373011220175
31.0,2000.24,2003.730291248941,2009.295712413838,2042.897501552604
36.0,2000.32,1999.8536916759676,1996.8479462031137,1969.0511665752183
41.0,2000.42,2003.7185457354592,2007.1545627305525,2036.7622751799559
46.0,2000.53,2003.2577895751324,2003.0167623386544,2019.1436297919186
51.0,2000.65,2000.3395866130807,1981.9679537662994,1962.5593889504826
56.0,2000.78,1996.5076187341447,2014.3676043751818,1984.8176083952026
61.0,2000.93,2003.2371602872404,2011.4930346517026,2013.353890418989
66.0,2001.09,2001.5383374569803,2006.6381047863224,1965.2010724210827
71.0,2001.26,1998.6650998896664,1983.7973931717434,2047.0298310340252
76.0,2001.44,2004.8539054669698,2007.9450557846546,1976.3993895368762
81.0,2001.64,2003.0949576572903,1999.6754978519252,1968.8399200203426
86.0,2001.85,1998.672165441027,1997.0835216004668,1955.3422303771476
91.0,2002.07,2006.0231724146568,2005.89426706568,1997.4075613551026
96.0,2002.3,1997.9101895722258,2018.2411907489432,2005.3932070612277
101.0,2002.55,2003.6221468940003,2008.2578997750816,2010.893494465935
106.0,2002.81,2002.1269137601803,1988.7163091648295,1971.8518695457922
111.0,2003.08,1999.5027526259926,2016.2190484301123,2005.095090560322
116.0,2003.36,2003.3036863590244,2017.9912457598502,1999.6024748511834
121.0,2003.66,1998.6711792002714,2022.9999256296353,1970.7992131370318
126.0,2003.97,2005.7911348636094,1988.0608966521384,1994.5909702552146
131.0,2004.29,2002.4992441886827,1992.8994585332719,2032.6066901957633
136.0,2004.62,2004.2230959591282,2021.8497141666787,2051.0472171083916
141.0,2004.96,2005.8714871880477,2023.4928260915688,2009.2134004286934
146.0,2005.32,2003.3644039040046,2001.4623395934207,2055.217679162038
151.0,2005.69,2007.8806660937846,2004.5940870605118,2009.0820441431708
156.0,2006.07,2002.086978445065,2000.3445675876126,1958.805843714992
161.0,2006.47,2007.2903768821116,2024.3927605874287,1973.12040761146
166.0,2006.88,2002.2145357089496,2009.1727970055308,1978.1626282067216
171.0,2007.3,2007.912959753868,2010.4077066109587,2005.8335178464367
176.0,2007.73,2004.8957565677542,2008.385296607552,2003.6231663136339
181.0,2008.17,2012.36490891447,2017.9080120214057,1989.4542058578793
186.0,2008.63,2007.7430238941918,2009.5465619379718,2052.5436936332744
191.0,2009.1,2008.751667940005,1989.8073978462623,1975.1013915930823
196.0,2009.58,2009.711784370701,2011.4008555418773,2014.5342158860146
201.0,2010.07,2012.498752844905,2012.63748586039,1966.518467440894
206.0,2010.58,2008.875823016932,2007.161743232321,1982.8379198666305
211.0,2011.1,2006.5550965351047,2025.3126867071746,2013.042823644057
216.0,2011.63,2016.2566700907857,2009.195161668454,2046.073557435431
221.0,2012.17,2009.2746366078454,2027.1469554756914,1968.467202070086
226.0,2012.73,2013.4001204665037,2011.6632890212045,2003.226082395661
231.0,2013.3,2011.5494699498363,2005.8969528063262,2044.2966819211088
236.0,2013.88,2009.687324015981,2017.4593591229543,2026.4249559993254
241.0,2014.47,2017.6371563238079,2014.6186084156739,2032.5219690632084
246.0,2015.07,2019.3087540441386,2011.748585587909,2012.8978739541883
251.0,2015.69,2017.4894705368304,2018.851412666539,2022.0578642362823
