x,y
5,6
10,12
15,18
20,24
25,30
30,36
35,42
40,48
45,54
50,60
55,66
60,72
65,78
70,84
75,90
80,96
85,102
90,108
95,114
100,120
105,126
110,132
115,138
120,144
125,150
130,156
135,162
140,168
145,174
150,180
155,186
160,192
165,198
170,204
175,210
180,216
185,222
190,228
195,234
200,240
205,246
210,252
215,258
220,264
225,270
230,276
235,282
240,288
245,294
250,300
255,306
260,312
265,318
270,324
275,330
280,336
285,342
290,348
295,354
300,360
305,366
310,372
315,378
320,384
325,390
330,396
335,402
340,408
345,414
350,420
355,426
360,432
365,438
370,444
375,450
380,456
385,462
390,468
395,474
400,480
405,486
410,492
415,498
420,504
425,510
430,516
435,522
440,528
445,534
450,540
455,546
460,552
465,558
470,564
475,570
480,576
485,582
490,588
495,594
500,600
