variableSide,hypotenuse
1.00,123456.00
1001.00,123460.06
2001.00,123472.22
3001.00,123492.47
4001.00,123520.82
5001.00,123557.25
6001.00,123601.76
7001.00,123654.35
8001.00,123714.99
9001.00,123783.69
10001.00,123860.42
11001.00,123945.17
12001.00,124037.93
13001.00,124138.67
14001.00,124247.38
15001.00,124364.04
16001.00,124488.62
17001.00,124621.10
18001.00,124761.45
19001.00,124909.66
20001.00,125065.68
21001.00,125229.49
22001.00,125401.07
23001.00,125580.37
24001.00,125767.37
25001.00,125962.03
26001.00,126164.32
27001.00,126374.20
28001.00,126591.63
29001.00,126816.57
30001.00,127048.98
31001.00,127288.83
32001.00,127536.07
33001.00,127790.65
34001.00,128052.54
35001.00,128321.68
36001.00,128598.04
37001.00,128881.57
38001.00,129172.21
39001.00,129469.93
40001.00,129774.67
41001.00,130086.38
42001.00,130405.01
43001.00,130730.52
44001.00,131062.85
45001.00,131401.96
46001.00,131747.77
47001.00,132100.26
48001.00,132459.35
49001.00,132825.00
50001.00,133197.16
51001.00,133575.77
52001.00,133960.77
53001.00,134352.11
54001.00,134749.74
55001.00,135153.59
56001.00,135563.62
57001.00,135979.77
58001.00,136401.98
59001.00,136830.19
60001.00,137264.36
61001.00,137704.42
62001.00,138150.31
63001.00,138601.98
64001.00,139059.38
65001.00,139522.45
66001.00,139991.13
67001.00,140465.36
68001.00,140945.10
69001.00,141430.27
70001.00,141920.84
71001.00,142416.73
72001.00,142917.91
73001.00,143424.30
74001.00,143935.86
75001.00,144452.53
76001.00,144974.26
77001.00,145500.99
78001.00,146032.67
79001.00,146569.24
80001.00,147110.65
81001.00,147656.85
82001.00,148207.79
83001.00,148763.40
84001.00,149323.65
85001.00,149888.47
86001.00,150457.82
87001.00,151031.65
88001.00,151609.89
89001.00,152192.52
90001.00,152779.46
91001.00,153370.68
92001.00,153966.13
93001.00,154565.75
94001.00,155169.49
95001.00,155777.32
96001.00,156389.18
97001.00,157005.03
98001.00,157624.81
99001.00,158248.48
100001.00,158876.00
101001.00,159507.32
102001.00,160142.40
103001.00,160781.19
104001.00,161423.64
105001.00,162069.72
106001.00,162719.38
107001.00,163372.57
108001.00,164029.27
109001.00,164689.41
110001.00,165352.97
111001.00,166019.90
112001.00,166690.16
113001.00,167363.71
114001.00,168040.51
115001.00,168720.52
116001.00,169403.71
117001.00,170090.03
118001.00,170779.45
119001.00,171471.93
120001.00,172167.43
121001.00,172865.92
122001.00,173567.36
123001.00,174271.71
124001.00,174978.95
125001.00,175689.03
126001.00,176401.92
127001.00,177117.58
128001.00,177835.99
129001.00,178557.11
130001.00,179280.91
131001.00,180007.35
132001.00,180736.40
133001.00,181468.04
134001.00,182202.23
135001.00,182938.93
136001.00,183678.13
137001.00,184419.79
138001.00,185163.87
139001.00,185910.36
140001.00,186659.22
141001.00,187410.42
142001.00,188163.94
143001.00,188919.74
144001.00,189677.81
145001.00,190438.11
146001.00,191200.62
147001.00,191965.30
148001.00,192732.15
149001.00,193501.12
150001.00,194272.19
151001.00,195045.34
152001.00,195820.55
153001.00,196597.79
154001.00,197377.03
155001.00,198158.25
156001.00,198941.44
157001.00,199726.56
158001.00,200513.59
159001.00,201302.51
160001.00,202093.31
161001.00,202885.94
162001.00,203680.41
163001.00,204476.67
164001.00,205274.72
165001.00,206074.53
166001.00,206876.09
167001.00,207679.36
168001.00,208484.34
169001.00,209291.00
170001.00,210099.32
171001.00,210909.28
172001.00,211720.87
173001.00,212534.07
174001.00,213348.85
175001.00,214165.20
176001.00,214983.11
177001.00,215802.54
178001.00,216623.50
179001.00,217445.95
180001.00,218269.89
181001.00,219095.29
182001.00,219922.14
183001.00,220750.42
184001.00,221580.13
185001.00,222411.23
186001.00,223243.71
187001.00,224077.57
188001.00,224912.78
189001.00,225749.33
190001.00,226587.21
191001.00,227426.40
192001.00,228266.88
193001.00,229108.64
194001.00,229951.67
195001.00,230795.96
196001.00,231641.48
197001.00,232488.23
198001.00,233336.20
199001.00,234185.36
200001.00,235035.71
